,Sample,Condition,Time,Batch
X90_160_rep1,X90_160_rep1,case,1,B_NULL
X160_210_rep1,X160_210_rep1,case,2,B_NULL
X210_270_rep1,X210_270_rep1,case,3,B_NULL
X270_330_rep1,X270_330_rep1,case,4,B_NULL
X330_390_rep1,X330_390_rep1,case,5,B_NULL
X390_450_rep1,X390_450_rep1,case,6,B_NULL
X450_510_rep1,X450_510_rep1,case,7,B_NULL
X510_580_rep1,X510_580_rep1,case,8,B_NULL
X580_650_rep1,X580_650_rep1,case,9,B_NULL
gt_650_rep1,gt_650_rep1,case,10,B_NULL
X90_160_rep2,X90_160_rep2,case,1,B_NULL
X160_210_rep2,X160_210_rep2,case,2,B_NULL
X210_270_rep2,X210_270_rep2,case,3,B_NULL
X270_330_rep2,X270_330_rep2,case,4,B_NULL
X330_390_rep2,X330_390_rep2,case,5,B_NULL
X390_450_rep2,X390_450_rep2,case,6,B_NULL
X450_510_rep2,X450_510_rep2,case,7,B_NULL
X510_580_rep2,X510_580_rep2,case,8,B_NULL
X580_650_rep2,X580_650_rep2,case,9,B_NULL
gt_650_rep2,gt_650_rep2,case,10,B_NULL
X90_160_rep3,X90_160_rep3,case,1,B_NULL
X160_210_rep3,X160_210_rep3,case,2,B_NULL
X210_270_rep3,X210_270_rep3,case,3,B_NULL
X270_330_rep3,X270_330_rep3,case,4,B_NULL
X330_390_rep3,X330_390_rep3,case,5,B_NULL
X390_450_rep3,X390_450_rep3,case,6,B_NULL
X450_510_rep3,X450_510_rep3,case,7,B_NULL
X510_580_rep3,X510_580_rep3,case,8,B_NULL
X580_650_rep3,X580_650_rep3,case,9,B_NULL
gt_650_rep3,gt_650_rep3,case,10,B_NULL