,head_row_1,head_row_2,anterior,posterior,far_posterior
K07A12.1,0.07936507936507936,0.2222222222222222,0.1343101343101343,0.19658119658119658,0.3675213675213675
php-3,0.0,0.0,0.0,0.0,1.0
gei-15,0.10795011691348402,0.17692907248636008,0.17225253312548713,0.1795271499090673,0.36334112756560144
vab-15,0.07606263982102908,0.0,0.0,0.09395973154362416,0.8299776286353467
pos-1,0.0,0.0,0.0,0.043373493975903614,0.9566265060240965
spon-1,0.02765698382327361,0.021221081927291698,0.14419899112889198,0.17707427378674548,0.6298486693337971
ztf-14,0.0,0.0,0.18136769078295342,0.2606541129831516,0.5579781962338949
dhhc-4,0.14079728583545378,0.1687871077184054,0.08821034775233248,0.15776081424936386,0.4444444444444444
lect-2,0.07601687109128813,0.06244242982498668,0.13016919571435498,0.21530033451301694,0.5160711688563534
madf-3,0.0,0.0,0.1206030150753769,0.04773869346733668,0.8316582914572865
nhr-22,0.005665722379603401,0.1331444759206799,0.10481586402266291,0.18413597733711048,0.5722379603399433
aptf-1,0.0,0.12158808933002484,0.12903225806451615,0.17121588089330028,0.5781637717121588
nhr-208,0.0,0.0,0.0,0.19148936170212766,0.8085106382978723
hlh-1,0.10135794133093257,0.08650311351189137,0.2270988071123115,0.23700202565833897,0.34803811238652566
madf-5,0.1424802110817942,0.0,0.0,0.26649076517150394,0.5910290237467019
rnt-1,0.04266777133388567,0.0,0.11184755592377796,0.1971830985915493,0.648301574150787
nhr-204,0.13907284768211922,0.0,0.0,0.0,0.8609271523178809
nhr-43,0.0,0.0,0.0,0.17699115044247787,0.8230088495575222
ztf-30,0.0,0.0,0.2205128205128205,0.2153846153846154,0.5641025641025641
hlh-8,0.12923076923076923,0.0,0.0,0.07076923076923076,0.8
sel-7,0.0,0.008264462809917356,0.0,0.09917355371900825,0.8925619834710743
sem-4,0.0,0.0654238480478368,0.010552233556102708,0.18325712275765035,0.7407667956384101
sem-2,0.1129032258064516,0.020161290322580645,0.06451612903225806,0.2661290322580645,0.5362903225806451
ceh-20,0.05580357142857143,0.10212053571428573,0.17968750000000003,0.19419642857142858,0.46819196428571436
nhr-152,0.13467048710601717,0.0,0.0,0.14040114613180515,0.7249283667621775
R02D3.7,0.20463320463320464,0.10231660231660232,0.06563706563706564,0.1698841698841699,0.45752895752895756
swsn-2.2,0.19508670520231217,0.13439306358381506,0.0,0.13728323699421968,0.5332369942196532
nhr-212,0.0,0.0,0.0,0.0,1.0
flh-2,0.04666666666666666,0.06666666666666667,0.01,0.03333333333333333,0.8433333333333334
T10D4.6,0.0,0.06361323155216285,0.0,0.08142493638676844,0.8549618320610687
hsf-1,0.08350230414746544,0.17333333333333334,0.17781874039938556,0.20497695852534564,0.36036866359447006
T26A5.8,0.0913946587537092,0.14718100890207717,0.15252225519287835,0.21364985163204747,0.3952522255192878
D1046.2,0.050156739811912224,0.15752351097178682,0.025862068965517238,0.11677115987460815,0.6496865203761756
svh-5,0.15514018691588785,0.17383177570093458,0.1822429906542056,0.21401869158878503,0.2747663551401869
C50C3.5,0.1752241238793806,0.10268948655256724,0.02852485737571312,0.11735941320293398,0.5762021189894051
dhhc-1,0.04302325581395349,0.1686046511627907,0.18488372093023256,0.1883720930232558,0.4151162790697675
clp-1,0.025157232704402517,0.14705001497454329,0.22192273135669363,0.16112608565438755,0.4447439353099731
cky-1,0.0,0.0,0.0,0.02608695652173913,0.9739130434782608
tbx-7,0.0,0.0,0.08754208754208755,0.10774410774410775,0.8047138047138047
nhr-90,0.0,0.21610169491525422,0.0,0.12288135593220338,0.6610169491525423
flh-1,0.08695652173913045,0.06625258799171843,0.0,0.15527950310559008,0.6915113871635611
flh-3,0.023255813953488372,0.16666666666666666,0.1686046511627907,0.1744186046511628,0.46705426356589147
inso-1,0.16487935656836464,0.08981233243967829,0.0,0.2412868632707775,0.5040214477211796
Y37F4.6,0.17225747960108795,0.15321849501359927,0.09338168631006347,0.2257479601087942,0.35539437896645515
D2063.1,0.1414026928262951,0.1840228245363766,0.16913215953725597,0.2173607175659039,0.2880816055341684
Y39A1C.1,0.05592279217345319,0.13022210470650447,0.19024325753569538,0.2776308831306187,0.3459809624537281
tni-1,0.09178376591172095,0.20280211605224005,0.17441725905108282,0.21804430484377585,0.31295255414118034
bed-1,0.044247787610619475,0.1706700379266751,0.21997471554993678,0.2313527180783818,0.33375474083438683
tlp-1,0.0452322738386308,0.09657701711491441,0.16992665036674814,0.20904645476772615,0.4792176039119804
mab-9,0.0,0.0,0.09965635738831614,0.0859106529209622,0.8144329896907215
dsc-1,0.0,0.0,0.0,0.0,1.0
mbf-1,0.17631880733944957,0.18434633027522937,0.16255733944954132,0.21903669724770647,0.25774082568807344
dyc-1,0.12587468193384227,0.1872614503816794,0.2206583969465649,0.2185114503816794,0.2476940203562341
tra-1,0.0,0.0,0.0,0.0,1.0
ttx-3,0.0650887573964497,0.0,0.0,0.14792899408284022,0.78698224852071
unc-3,0.0,0.0,0.0,0.0,1.0
pbo-5,0.0029561504352110363,0.0,0.0,0.1212021678436525,0.8758416817211364
unc-15,0.18964510442759921,0.19486239132926209,0.1913860191991792,0.2048112553687301,0.21929522967522935
madf-2,0.11709601873536299,0.08430913348946135,0.10070257611241216,0.10772833723653394,0.5901639344262295
row-1,0.15617577197149646,0.0,0.07185273159144893,0.2238717339667459,0.5480997624703089
F19C7.8,0.0779201864258666,0.12190503932420625,0.040489367899796104,0.15758811535100498,0.6020972909991261
nhr-41,0.0,0.07692307692307693,0.10576923076923077,0.1826923076923077,0.6346153846153847
psa-3,0.0,0.0,0.2282608695652174,0.1793478260869565,0.5923913043478262
Y56A3A.18,0.13397763880992988,0.15690733371233653,0.17509948834565092,0.18372181163539889,0.3502937274966837
mls-1,0.0,0.0,0.0,0.0,1.0
nhr-183,0.0,0.0,0.21843003412969283,0.20136518771331058,0.5802047781569966
klf-2,0.0,0.0,0.0,0.0,1.0
unc-63,0.10227272727272727,0.0,0.0,0.2443181818181818,0.6534090909090908
saeg-1,0.1366051100430053,0.15178345560333922,0.20263091323045787,0.19352390589425753,0.31545661522894003
unc-87,0.07586906328895412,0.21593336641995559,0.1955419372936582,0.22305418294024992,0.28960145005718235
ric-7,0.08956328645447817,0.04367135455218357,0.040895632864544784,0.11361954108068098,0.7122501850481125
fkh-9,0.13109756097560976,0.028963414634146343,0.0,0.1600609756097561,0.6798780487804879
