,t1,t2,avg
aha-1,6.255126,6.277865,6.2664955
ahr-1,4.977182,7.926651,6.451916499999999
atf-2,6.1187,6.118777,6.118738499999999
atf-6,-1.393511,9.40765,4.0070695
cdc-14,2.015426,6.462881,4.2391535000000005
ceh-1,7.046841,10.21168,8.6292605
ceh-2,5.845367,10.430804,8.1380855
ceh-5,7.351501,7.351645,7.351573
ceh-6,-3.521031,8.631922,2.5554455
ceh-8,1.956294,7.52083,4.738562
ceh-9,5.082193,8.37892,6.7305565000000005
ceh-10,0.4162212,7.8890104,4.1526158
ceh-12,6.336821,6.8159,6.5763605
ceh-13,1.238561,7.981052,4.6098065
ceh-14,7.997303,7.997418,7.997360499999999
ceh-16,2.014983,6.999366,4.5071745
ceh-17,9.106691,9.107015,9.106853
ceh-18,6.4102686,7.8612668,7.135767700000001
ceh-19,8.425072,8.356961,8.3910165
ceh-20,2.365215,8.219232,5.2922235
ceh-21,1.939314,5.490446,3.71488
ceh-22,6.383283,6.661867,6.522575
ceh-24,2.46687,6.057247,4.2620585
pros-1,-4.2980567,5.8850177,0.7934804999999998
ceh-27,6.091756,12.220684,9.15622
ceh-28,5.722826,10.260396,7.991611000000001
ceh-30,1.962806,8.459384,5.211095
ceh-31,9.040271,9.040661,9.040466
ceh-32,-5.913252,6.777925,0.4323364999999999
ceh-33,7.418657,9.78537,8.6020135
ceh-34,2.467282,8.972748,5.720015
ceh-36,-0.1736508,6.033119,2.9297341
ceh-37,2.5905583,5.5072941,4.0489262
ceh-38,0.5624841,10.5223416,5.542412850000001
ceh-39,0.906427,1.979093,1.44276
ceh-40,2.471867,18.48117,10.4765185
ceh-41,1.032434,7.053141,4.0427875
ceh-44,4.443619,6.455174,5.449396500000001
cep-1,-7.381075,7.86009,0.2395074999999997
ces-1,4.077049,10.437456,7.2572525
ces-2,1.931702,5.933959,3.9328305
cey-1,1.010682,5.477132,3.243907
cey-2,6.222009,6.795778,6.5088935
cey-3,1.895462,4.53267,3.2140660000000003
cey-4,5.424975,21.31648,13.3707275
cfi-1,2.527046,7.074189,4.8006175
che-1,2.928883,6.513395,4.721139
cky-1,-1.654879,5.282446,1.8137835
cnd-1,5.310354,5.616567,5.4634605
crh-1,8.924245,7.451723,8.187984
dac-1,8.1534293,8.5331055,8.3432674
daf-3,3.021863,12.16749,7.5946765
daf-5,6.2497393,10.4182601,8.3339997
daf-8,1.940031,5.752269,3.84615
daf-12,8.403294,8.404528,8.403911
daf-16,5.177672,5.1777,5.177686
daf-19,6.752808,6.769708,6.761258
dcp-66,-5.765866,9.28613,1.760132
die-1,0.963097,5.397392,3.1802445
dnj-11,6.996268,8.031182,7.513724999999999
dpl-1,4.377723,8.839204,6.6084635
dpy-20,5.320536,5.852322,5.586429
dro-1,2.026,5.772818,3.899409
dsc-1,-7.348127,20.20373,6.4278015
ech-6,1.583109,6.566056,4.0745825
efl-1,4.0478881,9.8463587,6.9471234
efl-2,1.987546,7.856383,4.9219645
egl-5,1.11621539,7.22626608,4.1712407350000005
egl-13,7.675516,6.734642,7.205079
egl-18,6.053937,8.955957,7.504947
egl-38,5.134858,7.393574,6.264216
egl-43,0.7360457,6.2565003,3.496273
egl-44,7.183741,9.230171,8.206956
egl-46,8.620916,8.621015,8.6209655
ehn-3,4.123034,8.136726,6.12988
elt-1,1.91721,5.130708,3.523959
elt-2,1.975588,10.09918,6.037384
elt-3,3.547263,5.052266,4.2997645
elt-4,-0.2472971,9.016694,4.384698449999999
elt-6,7.558424,7.614296,7.58636
end-1,2.479962,8.417554,5.448758000000001
end-3,4.959837,7.344037,6.151937
eor-1,4.4639032,4.3861707,4.42503695
fos-1,4.4142405,6.8191414,5.616690950000001
eya-1,2.813055,7.005424,4.9092395
fax-1,6.928666,4.039146,5.483905999999999
fkh-2,2.857654,4.986311,3.9219825
fkh-3,2.4647906,6.0884903,4.27664045
fkh-4,0.1787606,7.0006424,3.5897015000000003
fkh-5,1.597323,9.578328,5.5878255
fkh-6,7.443892,7.222929,7.333410499999999
fkh-7,1.650642,11.03995,6.345295999999999
fkh-8,4.932648,8.261552,6.5971
fkh-9,6.3859426,10.0668914,8.226417
fkh-10,8.619777,8.620186,8.6199815
gei-3,8.62248,8.622486,8.622482999999999
snpc-4,1.2454788,22.8565271,12.05100295
gei-17,1.016336,9.988596,5.502466
gop-3,5.120651,15.56367,10.3421605
grh-1,4.4798,10.41904,7.44942
grl-25,4.516271,9.010857,6.763564
ham-1,-0.3456963,5.467552,2.56092785
ham-2,5.16478081,6.33496353,5.74987217
hbl-1,5.936971,6.752483,6.344727
hel-1,-6.587166,8.268864,0.8408490000000004
hif-1,4.766678,6.618825,5.6927515
him-8,-1.379127,6.547011,2.5839420000000004
hlh-1,4.994005,7.92646,6.4602325
hlh-2,3.798152,7.465061,5.6316065
hlh-3,0.6110821,7.503873,4.05747755
hlh-4,4.107845,7.030496,5.5691705
hlh-6,5.862296,3.257433,4.5598645
hlh-8,5.587909,5.872511,5.73021
hlh-10,-0.5202692,9.866681,4.6732059
hlh-11,2.124085,8.500966,5.3125255
hlh-12,2.0285202,4.3546888,3.1916045
hlh-13,0.8577963,6.241158,3.5494771500000004
hlh-14,0.6409641,2.0507251,1.3458446000000002
hlh-15,2.6740938,7.0603384,4.8672161
hlh-16,7.000323,10.59493,8.7976265
hlh-17,4.973136,9.2201578,7.0966469000000005
hlh-19,1.149989,4.733165,2.941577
hlh-25,5.055449,5.052615,5.054032
hlh-29,6.022865,6.021208,6.0220365000000005
hmg-1.1,2.874103,4.995719,3.934911
hmg-1.2,0.7322715,6.3568124,3.54454195
hmg-3,0.5048345,7.483781,3.99430775
hmg-4,-4.36235434,9.88216784,2.7599067499999994
hmg-5,0.4763469,5.2595922,2.86796955
hmg-11,0.7783792,5.4409676,3.1096734
hmg-12,7.5139444,8.7560488,8.134996600000001
hnd-1,0.8366792,4.039282,2.4379806
hsf-1,6.136145,8.503904,7.320024500000001
isw-1,1.333463,3.81995,2.5767065
lag-1,4.9562752,9.8923619,7.42431855
ldb-1,4.126935,10.090503,7.108719
let-381,3.048278,3.890241,3.4692595
let-607,-12.799,8.960073,-1.9194635
lim-4,-2.216392,6.107524,1.945566
lim-6,4.438391,6.113994,5.2761925000000005
lin-1,4.939384,6.215595,5.5774895
lin-26,8.253851,9.231877,8.742864
lin-28,1.708247,8.430423,5.069335
lin-29,1.784571,10.444518,6.1145445
lin-31,2.483619,5.070565,3.777092
lin-32,3.08101,6.252128,4.666569
lin-36,5.349916,6.54655,5.948233
lin-39,4.086891,6.907489,5.49719
lin-40,5.73768,5.757994,5.7478370000000005
lin-48,5.562542,10.06633,7.814436000000001
lin-54,-2.746727,4.239396,0.7463345000000001
lir-1,3.803937,10.1232,6.9635685
lir-2,8.430515,8.427284,8.4288995
lir-3,9.475542,9.398363,9.4369525
lpd-2,6.052353,8.943936,7.4981445
ccar-1,1.924208,6.833839,4.3790235
lsy-2,5.979555,8.740428,7.3599915
mab-3,4.244534,5.956752,5.100643
mab-5,1.0492175,9.9601029,5.5046602
mab-9,2.049804,12.18211,7.115957
mbf-1,-2.614189,7.561911,2.4738610000000003
mdl-1,1.123067,6.561297,3.842182
mec-3,2.549185,10.044244,6.2967145
med-1,5.3811,5.808736,5.594918
mef-2,4.595667,10.49851,7.547088499999999
mex-5,1.942611,7.528087,4.735349
mex-6,1.808482,8.113509,4.9609955
mgl-2,6.094742,5.946764,6.020753
mig-5,-1.2723099,21.2631817,9.9954359
mls-1,2.73397,19.52903,11.1315
mls-2,-6.781249,9.575821,1.3972859999999998
mml-1,10.24246,5.02109,7.631774999999999
mnm-2,2.583479,8.425941,5.50471
moe-3,1.2940073,6.4677853,3.8808963
klf-3,2.53408,8.970121,5.7521005
mxl-1,1.800351,7.566717,4.683534
mxl-2,6.033682,6.805311,6.419496499999999
mxl-3,-0.7278998,6.8757543,3.07392725
nfi-1,1.816729,6.314094,4.0654115
ngn-1,6.014066,7.13311,6.573588
nhr-1,13.14875,5.836325,9.4925375
nhr-2,0.6232866,3.489587,2.0564368
nhr-3,6.477485,10.151984,8.3147345
nhr-4,4.060146,8.103598,6.081872
nhr-5,4.499676,10.24887,7.374273
nhr-7,1.6214234,7.1436535,4.38253845
nhr-8,7.059024,10.554567,8.8067955
nhr-9,6.042006,6.035524,6.038765
nhr-10,4.960287,10.544742,7.7525145
nhr-11,6.8266913,9.3647926,8.09574195
nhr-12,6.49661,6.522506,6.509558
nhr-13,5.958661,8.062199,7.01043
nhr-15,3.986267,6.430166,5.2082165
nhr-16,0.4999094,8.1833724,4.3416409
nhr-17,2.452268,4.196136,3.324202
nhr-18,1.59869,6.989114,4.293902
nhr-19,1.925843,7.586079,4.755961
nhr-20,-2.035764,5.483773,1.7240045000000002
nhr-21,8.130031,8.127116,8.1285735
nhr-22,1.0487834,7.9588451,4.50381425
nhr-23,5.036575,0.05995059,2.548262795
nhr-25,-10.817501,12.5326822,0.8575906
nhr-28,3.911685,6.842014,5.3768495
nhr-31,2.543889,5.916277,4.2300830000000005
nhr-32,-9.106155,8.360866,-0.3726444999999998
nhr-34,2.495035,6.053055,4.274045
nhr-35,5.942901,9.16837,7.555635499999999
nhr-38,4.582766,7.097528,5.840147
nhr-40,5.147481,8.099132,6.6233065
nhr-42,5.731801,17.20818,11.4699905
nhr-43,2.159451,7.186752,4.6731015
nhr-44,1.556215,12.42202,6.9891175
nhr-46,-4.400877,6.342731,0.9709269999999997
nhr-47,1.946942,8.194923,5.0709325
nhr-48,-0.5741135,5.0453996,2.23564305
nhr-49,6.620075,6.623365,6.62172
nhr-50,6.57067,9.089296,7.829982999999999
nhr-51,7.191315,7.719888,7.4556015
nhr-52,-2.0547843,5.2165606,1.58088815
nhr-53,2.449608,10.166093,6.3078505
nhr-54,6.152037,6.150844,6.1514405
nhr-55,8.290971,8.764642,8.5278065
nhr-56,6.578691,8.870959,7.724824999999999
nhr-58,6.738481,8.935696,7.8370885
nhr-59,5.916786,5.916851,5.9168185
nhr-60,0.7907832,8.9690739,4.87992855
nhr-61,2.488513,8.376823,5.432668
nhr-62,8.33762308,8.33767708,8.33765008
nhr-63,5.18946,12.88949,9.039475
nhr-64,2.15039,12.693443,7.4219165
nhr-65,1.802975,8.029948,4.9164615
nhr-66,6.972879,6.97304,6.9729595
nhr-67,1.234783,1.975759,1.605271
nhr-68,-10.53875,19.57492,4.518084999999999
nhr-69,5.112181,7.66597,6.3890755
nhr-70,-1.5150241,6.2399632,2.36246955
nhr-71,7.201491,7.727885,7.464688
nhr-74,1.584662,4.067026,2.825844
nhr-78,8.342257,10.76637,9.5543135
nhr-79,2.100864,8.190362,5.145613
nhr-80,1.974441,9.473303,5.723872
nhr-81,4.331676,2.429008,3.380342
nhr-84,1.759503,6.224296,3.9918995
nhr-85,2.030714,7.869518,4.950116
nhr-86,0.4732479,10.74068,5.60696395
nhr-87,1.133294,4.997232,3.0652630000000003
nhr-88,3.487539,7.175826,5.331682499999999
nhr-90,7.448714,10.47268,8.960697
nhr-91,2.003813,8.597633,5.300723
nhr-93,6.001576,5.968455,5.985015499999999
nhr-94,0.6917175,7.455989,4.07385325
nhr-95,1.836102,5.114143,3.4751225000000003
nhr-96,7.8962462,7.8962856,7.896265899999999
nhr-97,1.712256,11.203379,6.4578175
nhr-98,0.258581,10.27564,5.267110499999999
nhr-99,4.497781,8.547873,6.522827
nhr-100,2.074519,5.053867,3.5641930000000004
nhr-102,2.062061,6.536348,4.2992045
nhr-103,1.753164,6.771031,4.262097499999999
nhr-104,6.03775,7.588833,6.8132915
nhr-105,6.23424,8.647113,7.440676499999999
nhr-106,7.011165,7.021136,7.0161505
nhr-107,5.971245,9.482899,7.727072
nhr-108,3.518552,8.124663,5.8216075
nhr-109,1.497141,10.04875,5.7729455000000005
nhr-111,7.99814,8.000425,7.9992825
nhr-112,8.577732,6.3891,7.483416
nhr-114,-6.6122568,19.0551086,6.2214259
nhr-115,9.214455,9.648483,9.431469
nhr-116,1.775945,8.045002,4.9104735
nhr-117,4.6038865,8.1560995,6.379993
nhr-119,5.109084,4.915496,5.01229
nhr-120,0.6920146,6.9530665,3.82254055
nhr-121,-2.4687998,8.1811406,2.8561704000000003
nhr-122,6.911963,9.07852,7.9952415
nhr-123,5.040464,10.20366,7.622062
nhr-124,7.461323,7.776865,7.619094
nhr-125,6.525864,6.570393,6.548128500000001
nhr-126,7.113833,10.04948,8.581656500000001
nhr-127,-4.541241,5.27786,0.3683095
nhr-128,6.0956615,8.5421969,7.3189292
nhr-129,1.932003,6.009808,3.9709055
nhr-130,2.488407,4.918914,3.7036605
nhr-131,9.41165673,9.42437476,9.418015745
nhr-132,1.989058,5.956787,3.9729225
nhr-133,7.495581,9.024638,8.260109499999999
nhr-134,2.636763,7.054774,4.8457685
nhr-135,8.78662,8.772974,8.779796999999999
nhr-136,3.460036,8.05918,5.759608
nhr-137,2.027216,3.953445,2.9903305
nhr-138,-0.78296,5.1015365,2.15928825
nob-1,5.03265,7.963326,6.497988
odd-1,4.161752,5.998769,5.0802605
odd-2,6.049375,8.98479,7.517082500000001
blmp-1,2.868489,5.025715,3.947102
odr-7,7.969435,8.026641,7.998037999999999
oma-1,7.172403,3.912049,5.542226
pag-3,-1.665439,7.772177,3.053369
pal-1,1.059841,3.568788,2.3143145
pat-9,0.8915493,7.62899,4.26026965
pax-1,3.466507,8.141494,5.8040005
pax-2,4.927961,4.951563,4.939762
pax-3,4.986044,8.450991,6.7185175
peb-1,-0.05495006,6.124535,3.03479247
pes-1,1.446709,2.801717,2.124213
pha-2,1.638941,10.40337,6.021155500000001
pha-4,6.761,6.761713,6.7613565
php-3,2.921348,9.8172958,6.3693219
pie-1,8.268999,8.543981,8.406490000000002
plp-1,1.436242,9.786081,5.6111615
pop-1,5.482457,7.490508,6.4864825
pos-1,-5.2480286,12.5129556,3.6324635
pqm-1,9.8329611,9.8619688,9.84746495
pqn-75,2.630779,16.516693,9.573736
prx-5,8.164442,8.723117,8.4437795
swsn-1,5.082769,8.210387,6.646578
rbr-2,0.391688,6.227226,3.309457
ref-1,5.889482,5.889506,5.889494
ref-2,7.894191,7.937074,7.9156325
rnt-1,5.243139,7.347531,6.295335
sbp-1,1.066984,6.554447,3.8107155
sdc-1,-4.308588,6.257853,0.9746324999999998
sea-1,1.779276,7.383627,4.5814515
sel-7,3.470501,6.026231,4.748366
sem-2,0.1738345,8.93204,4.55293725
sem-4,7.538713,7.546636,7.5426745
sex-1,4.314178,7.083563,5.6988705
skn-1,0.7404606,6.0940739,3.41726725
sma-2,1.928737,5.301652,3.6151945
sma-3,6.634998,6.828308,6.731653
sma-4,8.903252,8.964657,8.9339545
sma-9,1.89033,4.157628,3.023979
sox-2,4.615814,7.13435,5.875082000000001
sox-3,5.5095,10.040598,7.775048999999999
spe-10,7.027331,9.043374,8.0353525
spr-1,8.241993,9.743705,8.992849
spr-3,1.035705,7.899003,4.467354
spr-4,7.6159647,7.617651,7.616807850000001
F26F4.8,1.917404,4.961197,3.4393005000000003
tab-1,1.468064,2.06108,1.764572
ctbp-1,2.137202,6.104918,4.12106
tag-68,0.3116906,7.0609253,3.68630795
svh-5,7.320345,7.320408,7.3203765
let-391,1.08519,10.03965,5.56242
tbp-1,7.995418,10.176954,9.086186
tbx-2,1.823192,7.792081,4.8076365
tbx-7,4.501483,7.885697,6.19359
tbx-8,3.318924,8.630195,5.9745595
tbx-9,3.1959434,7.4662671,5.33110525
tbx-11,1.418544,3.813103,2.6158235
tbx-32,7.506764,7.511715,7.5092395
tbx-33,8.525244,1.862949,5.194096500000001
tbx-35,7.013218,7.00347,7.008344
tbx-36,8.051603,7.032771,7.542187
tbx-37,0.7666357,8.17191747,4.469276585
tbx-38,0.6566204,4.955089,2.8058547000000003
tbx-39,7.00593,7.020848,7.013389
tlp-1,3.886091,5.926028,4.9060595
tra-1,7.50252,9.030349,8.266434499999999
ttx-1,6.07503172,9.87032529,7.972678505
ttx-3,4.888324,10.01024,7.449282
uaf-2,1.447361,4.43814,2.9427505
unc-3,1.505342,5.053536,3.279439
unc-4,1.548393,6.030567,3.78948
unc-30,4.1160933,10.2991038,7.20759855
unc-39,2.322027,9.073806,5.6979165
unc-42,3.955843,7.462616,5.7092295
unc-62,1.02448,7.046855,4.0356675
unc-86,3.967077,6.268389,5.117733
unc-98,1.127542,5.017996,3.072769
unc-130,5.93241,5.93248,5.932445
vab-3,8.626424,2.059494,5.3429590000000005
vab-7,-0.9435062,4.873635,1.9650644
vab-15,1.576076,4.664395,3.1202355
xbp-1,1.856779,5.799924,3.8283515
zag-1,0.1891446,5.610221,2.8996828
zip-1,1.932145,5.575228,3.7536865
zyx-1,5.485689,9.141953,7.313821000000001
mdt-29,0.91317037,6.05324901,3.48320969
pbrm-1,0.255646,6.018668,3.137157
nfx-1,3.690888,7.727321,5.7091045000000005
dmd-6,1.215529,9.293246,5.2543875
2L52.1,1.088813,9.453978,5.2713955
B0019.2,6.9880071,8.2593296,7.623668349999999
C01F6.9,8.55903,8.557605,8.558317500000001
madf-5,1.956113,7.073969,4.515041
nhr-150,6.32677,8.176064,7.251417
ceh-57,6.947651,6.949049,6.94835
ceh-58,5.12115,7.03412,6.077635
npax-4,4.486381,6.744837,5.615609
nhr-153,4.859749,10.75856,7.8091545
nhr-154,7.964797,5.969058,6.966927500000001
dhhc-7,1.78016,9.582922,5.681541
C17E4.6,6.095856,6.889593,6.4927245
spe-44,7.348304,7.84831,7.598307
ceh-79,5.504681,10.0819,7.793290499999999
rad-26,1.030809,3.93147,2.4811395000000003
dmd-4,1.891422,6.308651,4.1000365
C34B4.2,1.934617,5.004705,3.4696610000000003
dmd-10,7.025776,7.005549,7.0156625
zip-5,7.03343,9.463913,8.2486715
C34F6.9,0.8620409,4.9084481,2.8852445
C35D6.4,0.8893949,5.969968,3.42968145
irx-1,2.978308,5.882757,4.4305325
C38D4.7,-0.06765269,2.80160335,1.36697533
